RegNo,Name,Age,Gender,Branch,Year,Section,CollegeName,MentorName,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,IAT1,IAT2,IAT3,Attendance,StudyHoursPerDay,Backlogs,FatherIncome,MotherIncome,HasSiblings,SiblingCount,StressScore,SleepHours,MentalHealthIndex,ExerciseHours,ScreenTime,RiskLevel
CMR2023015,Brian Ramirez,23,Male,ECE,4,A,CMRIT,Dr. Arvind,8.12,8.32,5.62,9.5,7.54,8.33,6.63,8.49,7.82,28,22,23,53,6,5,115217,104390,True,2,71,8,0.88,4,5,High
CMR2023016,Holly Wood,21,Female,EEE,2,C,CMRIT,Prof. Meena,8.97,9.8,8.68,8.29,6.42,8.32,8.1,5.47,8.94,23,30,24,69,6,3,63888,57200,True,0,25,5,0.99,9,2,Medium
CMR2023017,Derek Zuniga,23,Female,EEE,4,A,CMRIT,Prof. Kavya,8.28,5.03,8.75,8.85,5.53,7.13,5.88,9.79,7.4,28,27,20,60,7,8,70325,36813,False,0,37,7,0.77,8,10,High
CMR2023018,Lisa Jackson,21,Female,AIML,4,B,CMRIT,Dr. Arvind,8.76,9.2,6.39,8.89,7.42,6.2,7.2,8.57,7.83,23,24,25,44,6,6,88809,146597,True,1,39,5,0.57,2,4,High
CMR2023019,Carla Gray,20,Female,EEE,1,A,CMRIT,Prof. Meena,6.95,8.85,9.73,5.1,9.4,7.88,7.38,9.71,7.9,24,26,26,61,6,2,146091,148165,True,3,48,6,0.61,0,7,Medium
CMR2023020,Margaret Hawkins DDS,21,Male,MECH,1,B,CMRIT,Dr. Ramesh,5.42,7.14,9.33,5.91,6.3,6.64,7.27,6.69,6.28,26,24,26,81,1,0,71131,26471,False,0,22,9,0.68,5,4,Medium
CMR2023021,Patty Perez,18,Male,AIML,1,C,CMRIT,Prof. Kavya,6.19,7.37,5.57,9.74,7.33,6.28,6.84,8.03,6.78,21,22,24,100,3,1,33337,11731,False,0,93,9,0.94,6,7,High
CMR2023022,Ethan Adams,22,Male,CSE,3,C,CMRIT,Dr. Ramesh,8.98,7.83,5.21,7.66,8.31,5.34,8.24,5.06,7.22,26,27,21,79,8,7,118645,99945,False,0,39,7,0.42,8,5,High
CMR2023023,Tommy Walter,21,Female,CIVIL,3,B,CMRIT,Prof. Kavya,9.15,5.43,9.41,6.22,7.32,8.05,6.89,5.14,7.6,25,22,27,75,0,8,60605,98015,False,0,63,6,0.92,11,5,High
CMR2023024,Matthew Foster,19,Male,AIML,4,B,CMRIT,Prof. Kavya,8.45,8.23,7.45,8.96,5.47,6.11,8.46,6.53,7.46,29,25,27,59,4,3,144177,95113,False,0,90,6,0.55,7,5,High
CMR2023025,Judy Baker,18,Male,ECE,1,C,CMRIT,Prof. Kavya,5.96,8.69,6.38,7.95,8.8,7.98,9.9,9.16,7.32,24,23,25,84,2,7,52039,84237,True,1,55,4,0.98,8,5,High
CMR2023026,Justin Baker,18,Male,MECH,3,B,CMRIT,Prof. Meena,7.2,5.92,5.26,9.71,7.39,9.11,7.0,5.37,7.43,30,30,20,78,3,8,44774,44111,False,0,30,5,0.38,12,7,High
CMR2023027,Stephanie Ross,21,Female,EEE,3,C,CMRIT,Prof. Meena,6.53,8.11,8.05,8.7,9.74,6.04,6.06,8.3,7.86,22,23,22,42,3,4,149701,24677,True,0,72,7,0.78,7,5,High
CMR2023028,Zachary Hicks,23,Female,CIVIL,4,A,CMRIT,Prof. Kavya,9.62,8.94,8.13,8.31,9.67,7.13,7.72,8.24,8.47,24,22,21,68,1,7,20633,48495,False,0,96,9,0.88,14,5,High
CMR2023029,Anthony Rodriguez,23,Female,CIVIL,4,B,CMRIT,Prof. Meena,7.19,7.99,9.45,8.67,8.02,5.13,6.14,8.37,7.62,29,29,20,77,6,7,75650,15546,True,3,86,9,0.61,4,3,High
CMR2023030,Rebecca Henderson,18,Female,ECE,4,B,CMRIT,Dr. Arvind,8.35,9.29,6.65,8.47,6.44,9.73,9.07,7.75,8.22,27,21,25,66,0,3,71164,89744,True,3,85,4,0.76,8,8,High
CMR2023031,James Ferrell,22,Female,MECH,4,C,CMRIT,Prof. Meena,8.8,6.02,7.75,9.64,7.19,8.49,5.61,9.87,7.92,29,23,22,69,1,2,86461,149399,True,3,31,5,0.99,14,2,Medium
CMR2023032,Tricia Valencia,21,Female,MECH,3,B,CMRIT,Prof. Meena,9.9,6.22,7.76,6.92,9.61,7.54,9.4,9.32,7.99,24,26,25,95,2,7,138100,75037,True,2,58,8,0.71,10,8,High
CMR2023033,Nathan Maldonado,22,Female,ECE,3,C,CMRIT,Prof. Meena,7.28,6.61,5.94,8.49,7.86,6.17,8.88,5.22,7.06,27,26,26,46,8,7,44873,134847,True,1,84,8,0.53,1,8,High
CMR2023034,Debra Davidson,18,Male,EEE,2,A,CMRIT,Prof. Meena,8.91,6.33,8.12,6.99,5.4,6.64,8.37,7.67,7.59,25,30,27,67,1,1,146824,14410,True,1,100,9,0.94,3,2,High
CMR2023035,Jeffrey Chavez,21,Male,CIVIL,3,A,CMRIT,Dr. Ramesh,6.62,5.28,6.79,7.15,6.22,7.06,8.41,5.9,6.52,22,21,29,69,4,0,105281,68132,False,0,94,5,0.46,10,5,High
CMR2023036,Sherri Baker,21,Female,CIVIL,2,A,CMRIT,Prof. Meena,9.73,9.94,6.5,9.81,8.45,7.28,6.51,10.0,9.0,27,21,23,57,0,0,104972,99098,False,0,57,4,0.98,10,7,High
CMR2023037,Cassandra Gaines,22,Female,ECE,2,C,CMRIT,Dr. Arvind,6.1,5.95,6.25,8.78,8.84,8.4,5.68,5.49,6.77,30,30,20,51,3,2,85984,120559,True,2,36,4,0.94,5,7,High
CMR2023038,Elizabeth Fowler,22,Female,MECH,3,A,CMRIT,Dr. Arvind,9.57,9.72,9.84,6.48,9.35,9.02,7.34,5.38,9.0,23,30,30,83,4,6,109179,100885,True,3,21,6,0.68,7,6,High
CMR2023039,Brittany Farmer,23,Female,CSE,2,B,CMRIT,Dr. Ramesh,8.1,9.72,6.64,8.05,8.24,8.18,7.32,8.51,8.13,30,26,21,48,6,7,41641,16887,True,2,83,4,0.37,14,9,High
CMR2023040,Paula Moreno,20,Female,MECH,2,B,CMRIT,Dr. Ramesh,9.17,8.08,9.7,6.4,8.45,6.09,7.22,6.18,8.34,25,21,30,45,3,0,101294,147728,False,0,27,7,0.49,1,8,High
CMR2023041,Fred Smith,18,Female,AIML,2,C,CMRIT,Prof. Kavya,5.34,8.83,6.04,6.08,9.35,6.64,5.74,9.5,6.57,20,24,22,40,5,3,39076,146614,False,0,42,4,0.76,0,3,High
CMR2023042,Sherry Decker,22,Female,CSE,2,B,CMRIT,Dr. Ramesh,5.63,7.1,5.57,5.32,7.24,6.81,7.97,7.26,5.91,23,29,20,67,1,7,141695,84070,False,0,23,4,1.0,13,7,High
CMR2023043,Anthony Humphrey,23,Female,CSE,1,B,CMRIT,Prof. Kavya,5.33,6.38,8.17,7.74,6.63,9.97,7.65,7.27,5.86,29,26,21,65,6,1,34992,149529,True,3,77,5,0.59,13,8,High
CMR2023044,Angelica Tucker,20,Female,ECE,3,B,CMRIT,Prof. Kavya,8.43,7.37,5.46,5.43,7.16,8.72,6.86,5.65,7.09,20,29,28,58,4,5,91414,37042,False,0,65,9,0.96,6,1,High
CMR2023045,Philip Cannon,18,Male,AIML,4,A,CMRIT,Dr. Ramesh,6.75,7.78,5.57,6.39,6.13,7.15,7.8,8.84,7.05,29,29,30,62,0,2,11882,75109,True,1,54,9,0.83,14,6,Medium
CMR2023046,John Pierce,19,Female,CSE,2,C,CMRIT,Dr. Ramesh,5.46,7.65,6.88,7.27,5.79,6.56,6.62,9.71,6.81,29,21,20,68,6,4,45784,46264,True,0,54,7,0.76,7,10,Medium
CMR2023047,Shane Henderson,19,Male,ECE,4,A,CMRIT,Dr. Arvind,8.39,7.97,7.63,6.54,6.1,9.92,5.27,6.02,7.23,23,22,24,74,3,8,80876,91015,True,0,83,9,0.6,2,7,High
CMR2023048,Joshua Blair,22,Female,CSE,4,C,CMRIT,Dr. Ramesh,7.18,7.3,5.39,6.57,7.15,7.02,8.2,6.45,6.91,26,20,25,77,6,8,50055,125611,False,0,31,7,0.89,3,7,High
CMR2023049,Eric Carney,18,Female,ECE,3,A,CMRIT,Dr. Arvind,8.9,5.38,8.17,7.65,5.97,8.88,6.76,9.79,7.49,30,22,23,51,7,7,31949,43389,False,0,45,5,0.72,12,2,High
CMR2023050,Jessica Holmes,22,Female,CIVIL,3,C,CMRIT,Dr. Arvind,5.75,5.34,7.21,6.51,6.37,5.28,7.54,6.55,6.08,27,20,20,75,0,7,101662,80255,True,0,98,8,0.65,7,10,High
CMR2023051,Danny Morgan,22,Male,ECE,4,C,CMRIT,Prof. Kavya,9.79,7.25,9.05,9.19,9.91,5.42,8.23,5.2,8.01,27,27,28,83,0,5,142035,46614,False,0,67,6,0.57,12,6,Medium
CMR2023052,Crystal Robinson,18,Female,CSE,4,B,CMRIT,Dr. Arvind,8.62,8.28,9.53,9.37,6.67,7.91,5.71,6.75,7.85,30,30,26,82,8,1,38803,27208,False,0,91,7,0.75,5,3,High
CMR2023053,Mark Perez,23,Female,MECH,3,A,CMRIT,Dr. Arvind,6.54,9.76,6.71,8.83,5.96,10.0,5.77,6.48,7.97,21,28,28,51,2,7,143027,14895,False,0,99,5,0.72,2,3,High
CMR2023054,Shannon Jones,18,Female,ECE,2,B,CMRIT,Dr. Arvind,8.76,8.92,6.17,6.2,9.83,8.92,9.52,5.97,7.51,30,29,27,91,2,4,126026,78864,False,0,84,8,0.59,2,4,High
CMR2023055,Michael Lewis,18,Female,ECE,1,C,CMRIT,Dr. Ramesh,6.43,8.82,6.36,9.53,5.74,7.19,9.73,6.11,7.62,27,25,20,54,0,5,113762,18960,False,0,84,6,0.47,1,6,High
CMR2023056,Timothy Duncan,18,Female,AIML,2,A,CMRIT,Dr. Arvind,9.59,7.36,9.16,8.79,7.35,8.08,9.53,5.1,8.72,23,22,28,80,7,1,143352,115953,True,2,50,6,0.39,3,7,Low
CMR2023057,Richard Aguirre,18,Female,MECH,1,C,CMRIT,Prof. Kavya,8.59,6.46,5.01,6.76,7.85,5.94,8.34,7.62,7.53,25,21,28,87,0,5,147627,137992,True,3,80,4,0.74,5,5,High
CMR2023058,Brent Jordan,18,Female,AIML,1,C,CMRIT,Dr. Arvind,5.67,6.76,6.69,8.21,9.15,8.42,9.9,7.39,6.21,22,22,21,60,4,8,124977,14695,False,0,45,4,0.85,14,1,High
CMR2023059,John Daniel,21,Female,ECE,1,C,CMRIT,Prof. Kavya,6.43,9.31,5.24,8.28,6.37,9.0,7.18,7.0,7.87,27,26,25,45,6,2,53973,135076,False,0,67,8,0.49,1,7,High
CMR2023060,Victoria Garcia,22,Female,ECE,1,A,CMRIT,Dr. Arvind,8.3,6.53,8.01,7.13,8.45,6.76,5.21,9.35,7.42,25,29,26,100,0,2,76973,20036,True,3,66,8,0.86,10,3,Medium
CMR2023061,Gerald Hensley,22,Female,CSE,2,A,CMRIT,Prof. Kavya,8.89,6.83,6.91,7.84,8.03,8.4,9.74,6.86,7.62,21,29,22,87,2,7,143794,101193,False,0,60,9,0.5,1,1,High
CMR2023062,Connor West,22,Female,MECH,1,B,CMRIT,Dr. Arvind,8.52,6.07,8.06,8.47,9.99,6.0,5.68,5.37,7.29,22,27,21,90,5,8,88778,96075,True,2,58,5,0.8,14,3,High
CMR2023063,Donald Wright,19,Male,AIML,2,A,CMRIT,Prof. Meena,5.13,7.77,6.84,9.02,7.76,8.06,5.43,6.55,7.19,27,28,26,48,8,2,112330,24333,True,2,29,7,0.63,8,6,High
CMR2023064,Jessica Callahan,19,Female,MECH,1,A,CMRIT,Prof. Kavya,6.52,5.81,9.67,6.13,9.74,7.59,6.42,5.39,6.16,23,30,28,77,2,2,76945,37812,False,0,98,8,0.37,10,3,High
CMR2023065,Amber Kidd,23,Female,MECH,1,A,CMRIT,Dr. Ramesh,5.23,8.21,7.88,8.26,8.83,7.08,8.19,7.49,6.72,30,28,24,68,6,7,84192,131601,True,3,58,7,0.35,0,3,High
CMR2023066,Tracy House,21,Male,ECE,2,B,CMRIT,Dr. Arvind,8.67,9.3,9.88,5.65,6.85,7.81,6.6,7.33,8.38,24,27,23,92,5,5,41930,30378,True,2,69,8,0.59,13,3,Medium
CMR2023067,Carol Tucker,19,Male,EEE,4,B,CMRIT,Dr. Arvind,7.49,5.45,6.97,7.29,6.2,7.92,5.24,6.41,6.62,29,30,30,88,6,5,128361,79907,True,0,75,5,0.92,11,6,Medium
CMR2023068,James Brown,18,Female,CSE,2,B,CMRIT,Dr. Arvind,5.37,7.52,8.82,6.4,9.95,8.4,5.59,9.88,7.03,26,25,25,91,7,8,100841,42818,True,3,84,4,0.33,2,6,High
CMR2023069,William Baker,21,Male,MECH,2,B,CMRIT,Dr. Arvind,5.81,9.95,8.7,6.5,6.68,9.14,7.66,8.54,7.74,24,27,20,78,7,4,101562,91832,True,3,94,6,0.86,11,1,High
CMR2023070,Jordan Henderson,23,Male,CIVIL,1,C,CMRIT,Prof. Meena,5.85,8.15,8.1,9.21,5.74,8.4,5.16,9.74,7.0,21,23,20,89,7,0,120615,87232,False,0,39,7,0.78,6,9,Medium
CMR2023071,Whitney Peters,23,Male,MECH,2,C,CMRIT,Dr. Arvind,9.99,7.39,6.88,9.78,7.3,7.67,7.73,8.38,8.51,30,30,24,85,3,7,131924,55400,True,2,91,6,0.46,4,5,High
CMR2023072,Brittney Phillips,20,Female,ECE,3,B,CMRIT,Dr. Ramesh,7.87,7.72,9.48,6.97,6.73,8.87,5.73,5.21,7.94,21,25,27,48,1,3,72225,130587,True,1,88,6,0.95,11,5,High
CMR2023073,Lauren Daniels,19,Male,CIVIL,2,C,CMRIT,Prof. Kavya,5.26,7.07,8.59,5.5,8.85,5.03,7.75,9.65,6.61,26,30,27,81,3,8,130160,57286,False,0,61,6,0.75,14,2,High
CMR2023074,Amy Silva,23,Male,AIML,4,A,CMRIT,Dr. Ramesh,9.99,6.98,7.48,9.68,9.81,9.63,9.38,5.05,8.5,29,29,21,69,4,3,92829,79596,False,0,89,8,0.65,2,9,High
CMR2023075,Sarah Moore,18,Female,AIML,4,C,CMRIT,Dr. Arvind,8.59,5.07,6.69,6.48,8.37,5.97,8.05,8.19,7.18,26,26,28,99,3,0,90964,27737,False,0,32,5,0.99,7,6,Medium
CMR2023076,Angela Lopez,20,Female,AIML,4,B,CMRIT,Dr. Arvind,6.51,8.61,5.06,8.27,8.46,5.31,5.59,6.53,6.79,26,30,28,49,7,5,86521,35779,False,0,67,8,0.45,2,8,High
CMR2023077,Megan Young,21,Female,MECH,2,A,CMRIT,Dr. Ramesh,7.63,7.64,6.81,9.59,5.56,9.14,9.51,6.01,7.92,28,22,22,45,8,7,91014,141404,False,0,34,9,0.44,9,8,High
CMR2023078,Steve Sanchez,18,Female,AIML,4,B,CMRIT,Dr. Ramesh,7.79,8.36,6.54,5.11,6.27,5.02,6.09,5.37,6.32,26,25,21,89,6,5,146862,20795,True,3,24,6,0.59,12,3,Medium
CMR2023079,Lisa Barnes,21,Female,EEE,4,A,CMRIT,Prof. Kavya,8.27,6.74,5.89,7.69,7.64,8.64,6.11,5.02,7.0,20,24,27,52,1,0,147723,116182,False,0,49,5,0.62,2,5,High
CMR2023080,Kelly Donovan,23,Female,MECH,1,A,CMRIT,Prof. Kavya,5.34,7.97,7.23,8.36,9.36,6.22,5.22,7.19,6.65,28,23,20,89,5,3,41735,137093,False,0,49,9,0.7,9,10,Medium
CMR2023081,Mike Allen,20,Male,CIVIL,2,B,CMRIT,Dr. Arvind,6.38,7.78,7.96,8.68,5.88,8.39,7.78,5.23,7.7,25,30,30,88,8,7,104917,142484,False,0,73,7,0.4,6,3,High
CMR2023082,Michael Evans,19,Male,ECE,2,B,CMRIT,Dr. Ramesh,7.81,9.84,7.79,5.67,6.21,6.02,8.23,9.61,7.78,25,21,28,52,8,3,54933,18510,False,0,68,9,0.72,0,2,High
CMR2023083,Paul Jones,21,Male,ECE,3,A,CMRIT,Prof. Kavya,9.69,9.81,5.59,10.0,7.39,6.21,8.02,6.02,8.12,23,28,25,72,7,7,79202,104788,False,0,88,9,0.55,4,6,High
CMR2023084,Zachary Ferrell,18,Female,ECE,2,B,CMRIT,Dr. Arvind,7.07,7.81,6.11,5.73,6.3,9.67,7.9,7.09,6.68,22,23,25,88,7,7,65298,104572,True,3,90,9,0.96,5,5,High
CMR2023085,Daniel Baker,21,Male,CIVIL,3,A,CMRIT,Prof. Kavya,8.6,7.44,9.58,7.71,8.21,5.29,5.17,9.23,7.8,30,20,20,43,7,7,113106,41042,True,0,39,4,0.45,7,6,High
CMR2023086,Shirley Suarez,18,Male,MECH,4,A,CMRIT,Dr. Ramesh,7.65,6.37,9.89,5.09,9.07,8.37,9.03,9.55,8.13,21,21,28,65,7,3,44032,68168,True,2,65,6,0.86,1,6,Medium
CMR2023087,Christopher Bass,23,Male,ECE,1,C,CMRIT,Dr. Ramesh,5.47,6.9,7.76,5.28,5.05,5.86,7.5,7.17,6.19,25,29,21,83,4,8,143453,16154,True,1,92,7,0.49,14,2,High
CMR2023088,Lisa Archer,22,Male,AIML,3,A,CMRIT,Prof. Kavya,7.94,8.76,8.56,6.99,5.38,5.81,6.2,9.17,7.24,26,30,28,67,3,1,91960,105622,True,0,84,9,0.98,0,2,High
CMR2023089,Aimee Montoya,20,Female,ECE,1,C,CMRIT,Dr. Arvind,8.92,7.25,6.14,7.77,6.88,5.93,7.93,6.9,8.09,29,24,23,87,6,5,24269,26505,False,0,39,7,0.8,10,3,Low
CMR2023090,Matthew Mcmillan,20,Male,CSE,1,B,CMRIT,Prof. Meena,6.8,6.35,5.66,5.94,7.24,7.77,7.04,5.13,6.57,25,28,21,97,3,8,90047,105987,True,2,72,7,0.85,11,9,High
CMR2023091,Brian Rodriguez,19,Female,AIML,2,B,CMRIT,Dr. Arvind,6.34,5.73,5.84,6.38,6.5,8.91,6.81,9.72,6.07,30,27,29,64,5,7,56261,125025,True,1,58,4,0.96,5,10,High
CMR2023092,Denise Jacobs,20,Female,CIVIL,2,B,CMRIT,Dr. Arvind,8.02,8.48,7.4,5.89,6.99,6.6,8.67,8.16,7.45,29,23,25,74,2,8,103580,78479,False,0,66,4,0.95,3,10,High
CMR2023093,Christina Walters,18,Female,CIVIL,2,B,CMRIT,Dr. Arvind,9.16,5.35,9.24,8.98,8.36,5.7,6.51,6.26,8.18,22,26,26,74,0,5,24389,122720,False,0,94,7,0.67,14,7,High
CMR2023094,John Whitehead,23,Male,CSE,2,C,CMRIT,Dr. Arvind,5.83,8.06,7.82,8.23,8.23,9.83,6.66,8.98,7.49,21,20,21,84,8,2,72826,63196,True,3,67,7,0.62,10,10,Medium
CMR2023095,Anna Henderson,20,Male,EEE,1,B,CMRIT,Prof. Meena,9.6,5.43,9.16,8.65,6.74,6.72,8.92,7.61,7.51,25,27,21,41,5,1,119862,123606,False,0,28,6,0.33,11,2,High
CMR2023096,Aaron Wise,23,Male,CIVIL,2,C,CMRIT,Prof. Kavya,7.76,6.65,7.13,7.31,8.99,8.15,5.93,8.29,7.21,26,20,29,88,1,1,56727,122853,False,0,69,4,0.79,3,5,High
CMR2023097,Deborah Figueroa,22,Male,ECE,3,A,CMRIT,Prof. Meena,5.57,8.35,7.45,9.83,6.57,6.94,6.96,5.57,7.45,25,27,29,63,2,8,50227,82973,True,1,60,4,0.47,1,3,High
CMR2023098,Jessica Smith,21,Female,MECH,2,C,CMRIT,Prof. Meena,7.12,7.43,7.69,9.6,9.65,5.87,5.83,6.44,7.96,22,25,27,81,7,6,19053,99119,True,3,37,5,0.87,8,9,High
CMR2023099,Stephen Mckee,23,Female,EEE,4,B,CMRIT,Prof. Kavya,5.41,5.15,8.81,6.46,6.37,7.69,5.84,7.29,6.63,27,28,28,88,7,8,34677,34938,False,0,89,6,0.68,12,1,High
CMR2023100,Sandra Aguilar,19,Female,CSE,2,B,CMRIT,Dr. Ramesh,7.25,6.74,9.08,7.2,9.97,8.88,6.18,9.05,7.57,29,25,29,78,8,2,117241,48511,True,1,46,4,0.7,8,5,High
CMR2023101,Cameron Parker,20,Female,ECE,3,C,CMRIT,Dr. Ramesh,5.68,8.75,7.06,5.3,6.39,8.28,8.51,5.66,6.91,22,25,23,65,8,4,107944,133308,True,2,100,7,0.56,1,2,High
CMR2023102,Rebecca Valencia,23,Female,EEE,4,B,CMRIT,Dr. Ramesh,9.34,9.24,5.47,9.86,8.17,8.49,9.25,8.98,8.6,26,23,26,76,7,5,60535,134686,False,0,61,6,0.54,9,3,Medium
CMR2023103,Christine Wright,23,Male,CSE,1,C,CMRIT,Prof. Meena,5.08,9.65,5.79,7.28,9.96,7.14,9.98,9.55,7.37,30,24,22,43,6,4,76832,29468,False,0,52,4,0.56,14,3,High
CMR2023104,Richard Henson,23,Male,EEE,1,C,CMRIT,Dr. Ramesh,5.01,7.38,5.66,6.13,8.4,5.05,8.48,9.09,6.2,26,22,27,63,4,2,23567,65017,False,0,31,9,0.86,1,6,Medium
CMR2023105,Marc Moore,21,Male,CIVIL,2,A,CMRIT,Dr. Ramesh,8.05,5.82,6.76,6.07,8.74,9.6,8.08,7.21,6.68,23,21,21,57,1,3,41703,37284,False,0,64,7,0.52,2,4,High
CMR2023106,Sharon Cherry,22,Female,CIVIL,1,C,CMRIT,Dr. Arvind,6.03,8.03,5.94,6.96,8.23,8.92,8.97,6.2,7.03,26,21,23,66,5,8,135962,23615,True,2,60,5,0.57,13,10,High
CMR2023107,Sierra Johnson,23,Male,EEE,1,A,CMRIT,Dr. Ramesh,5.07,6.08,9.61,9.74,6.99,6.43,8.56,8.84,5.58,26,26,21,91,2,8,145657,145943,True,2,30,6,0.36,14,4,High
CMR2023108,Evelyn Galvan,20,Female,MECH,1,B,CMRIT,Prof. Meena,8.65,9.23,5.29,5.43,7.17,7.27,8.04,6.55,8.94,30,22,21,50,5,2,8320,40969,True,1,83,6,0.67,12,5,High
CMR2023109,Sharon Cochran,23,Female,CIVIL,1,A,CMRIT,Dr. Arvind,9.04,6.36,5.32,8.56,7.88,5.39,7.28,6.8,7.7,27,29,22,87,8,0,101387,46237,False,0,33,8,0.77,1,4,Low
CMR2023110,Richard Rodriguez,18,Male,AIML,1,B,CMRIT,Dr. Arvind,6.91,5.75,9.66,9.29,7.76,9.57,8.7,7.1,6.33,25,23,26,54,8,0,88869,76108,True,2,35,8,0.77,0,3,High
CMR2023111,Shannon Walker,21,Male,EEE,3,B,CMRIT,Dr. Arvind,5.43,7.28,6.84,6.46,8.92,8.7,6.21,6.84,7.27,27,23,28,100,5,0,69258,44470,True,3,23,5,0.68,10,1,Medium
CMR2023112,Julia Torres,23,Female,CIVIL,3,A,CMRIT,Prof. Kavya,7.65,6.19,7.46,5.3,9.98,8.56,5.47,9.61,7.52,28,26,25,82,2,3,125182,27256,True,1,70,4,0.71,0,7,High
CMR2023113,Crystal Johnson,20,Female,ECE,4,C,CMRIT,Dr. Arvind,6.59,6.36,5.37,6.01,8.9,7.92,5.78,5.82,6.59,27,25,26,45,2,4,36650,145489,False,0,46,7,0.52,4,2,High
CMR2023114,Garrett Lin,23,Male,AIML,3,A,CMRIT,Dr. Ramesh,8.56,9.84,6.98,5.24,6.49,9.1,5.87,9.76,7.7,27,28,28,48,3,6,70497,29831,False,0,33,5,0.39,0,4,High
CMR2023115,Diana May,20,Male,MECH,3,A,CMRIT,Dr. Ramesh,9.99,5.99,8.23,9.05,5.46,9.24,9.04,5.61,7.99,27,20,22,53,2,4,118549,108546,False,0,23,7,0.78,2,6,High
