RegNo,Name,Age,Gender,Branch,Year,Section,CollegeName,MentorName,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,IAT1,IAT2,IAT3,Attendance,StudyHoursPerDay,Backlogs,FatherIncome,MotherIncome,HasSiblings,SiblingCount,StressScore,SleepHours,MentalHealthIndex,ExerciseHours,ScreenTime,RiskLevel
CMR2023726,Christian Dawson,18,Female,AIML,3,B,CMRIT,Prof. Kavya,7.35,5.19,8.7,9.88,7.83,8.08,9.81,7.21,7.84,21,30,29,77,7,0,98872,41006,False,0,48,6,0.44,11,6,Low
CMR2023894,Dr. Andrea Marshall,23,Female,EEE,1,A,CMRIT,Prof. Kavya,7.97,8.41,5.9,9.68,8.93,8.01,8.16,6.67,8.19,21,28,28,81,7,0,31153,45550,False,0,32,8,0.84,13,1,Low
CMR2024018,Jimmy Marks,22,Female,AIML,3,A,CMRIT,Prof. Meena,8.75,8.94,9.39,9.35,9.81,8.92,7.38,7.33,9.19,28,27,24,78,7,5,11559,74504,True,0,81,7,0.63,1,5,High
CMR2023439,Jason Rhodes,21,Female,EEE,3,C,CMRIT,Dr. Ramesh,7.79,7.18,6.74,5.13,6.83,7.33,8.35,8.64,6.83,23,29,28,63,8,3,55065,105258,False,0,42,9,1.0,3,8,Medium
CMR2023467,William Jones,18,Male,ECE,1,A,CMRIT,Prof. Meena,5.58,5.42,5.99,7.71,6.07,7.44,7.85,7.91,5.5,21,27,30,61,8,7,56065,124604,True,2,72,8,0.49,10,3,High
CMR2023872,Michael Blair,23,Female,CSE,1,C,CMRIT,Prof. Meena,7.17,8.72,6.5,8.59,7.9,7.15,6.94,5.62,7.95,23,23,25,43,2,3,134734,74164,False,0,70,8,0.97,5,8,High
CMR2023371,Debra White,23,Female,CSE,1,A,CMRIT,Dr. Ramesh,9.59,9.61,8.84,6.0,6.64,6.59,9.98,7.43,9.6,27,21,24,78,6,0,124165,15035,True,3,38,9,0.45,9,1,Low
CMR2023517,Michael Cooper,19,Male,AIML,1,A,CMRIT,Dr. Arvind,5.32,7.86,6.18,5.44,5.38,8.62,8.68,6.71,6.59,29,21,22,51,1,1,125786,91743,True,0,27,9,0.4,14,2,High
CMR2023219,Bailey Duran DDS,21,Female,AIML,4,C,CMRIT,Prof. Kavya,6.05,8.67,6.73,8.21,8.78,5.58,5.84,6.99,7.11,24,27,28,40,4,7,66252,104562,False,0,80,6,0.4,13,7,High
CMR2024114,Dennis Mills,18,Male,CIVIL,2,C,CMRIT,Prof. Kavya,7.65,6.51,9.86,9.16,8.12,8.82,8.43,9.45,8.29,28,26,27,71,7,3,38516,56548,True,0,27,6,0.77,8,2,Medium
CMR2023516,William Day,21,Female,CSE,3,C,CMRIT,Prof. Meena,6.68,9.02,9.27,8.92,7.04,6.71,9.71,8.6,7.94,28,23,27,97,1,0,78830,74906,True,3,30,9,0.94,13,9,Low
CMR2023719,Jeffrey Roberson,23,Female,EEE,1,B,CMRIT,Prof. Kavya,9.11,8.09,9.97,6.06,8.28,9.5,6.21,9.49,8.6,27,23,21,92,3,0,35078,144348,True,2,70,9,0.86,4,2,Medium
CMR2023448,Ryan Rosales,20,Male,AIML,2,A,CMRIT,Prof. Meena,5.45,6.22,8.42,9.23,6.87,7.39,6.72,7.35,7.33,30,26,23,65,5,4,128812,103642,False,0,51,4,0.57,5,3,High
CMR2023710,Anthony Jones,21,Male,CSE,2,A,CMRIT,Prof. Meena,9.35,6.38,6.2,8.88,7.94,5.59,5.91,5.61,7.7,24,20,30,96,4,3,74408,147727,True,1,40,7,0.87,4,6,Low
CMR2023013,Michele Williams,19,Female,CSE,2,C,CMRIT,Dr. Arvind,8.91,7.06,8.35,8.68,6.24,5.8,8.51,6.91,8.25,20,27,23,65,5,4,57316,125665,False,0,59,5,0.46,10,4,Medium
CMR2023680,Suzanne Wood,22,Female,EEE,1,C,CMRIT,Prof. Kavya,5.63,9.72,5.66,9.41,8.82,6.79,9.25,8.16,7.68,29,28,22,63,2,1,104651,8851,False,0,30,8,0.9,12,10,Medium
CMR2023524,Krista Martinez,20,Female,CIVIL,2,A,CMRIT,Dr. Arvind,8.91,7.86,9.56,8.54,8.05,9.07,6.25,7.82,8.72,20,25,28,44,7,6,30056,105700,True,2,30,8,0.64,9,5,High
CMR2024039,Corey Whitaker,23,Female,ECE,4,B,CMRIT,Dr. Ramesh,9.83,5.32,8.18,9.85,6.93,9.44,9.64,7.14,8.29,25,21,30,62,5,1,35884,134242,False,0,52,6,0.46,9,7,Medium
CMR2023669,Michael Morrison,18,Female,MECH,3,C,CMRIT,Prof. Kavya,6.84,6.32,7.57,6.55,5.62,7.79,8.76,7.52,6.78,24,25,24,61,2,3,17359,13240,False,0,52,6,0.76,4,8,Medium
CMR2023979,David Rodriguez,23,Male,AIML,4,C,CMRIT,Dr. Arvind,5.94,8.99,8.62,5.5,5.71,8.28,7.88,6.37,7.16,22,26,25,97,2,5,53405,125774,False,0,39,8,0.6,10,7,Medium
CMR2023287,Carolyn Miller,21,Male,CIVIL,2,C,CMRIT,Dr. Arvind,9.61,5.59,9.26,5.55,6.85,6.45,7.61,5.59,7.5,24,25,24,96,4,3,82065,132382,True,1,38,8,0.6,14,5,Low
CMR2023102,Rebecca Valencia,23,Female,EEE,4,B,CMRIT,Dr. Ramesh,9.34,9.24,5.47,9.86,8.17,8.49,9.25,8.98,8.6,26,23,26,76,7,5,60535,134686,False,0,61,6,0.54,9,3,Medium
CMR2023988,Anna Wheeler,19,Female,MECH,4,B,CMRIT,Prof. Meena,5.24,8.24,5.24,5.04,8.9,8.94,6.37,8.42,7.05,27,30,25,96,3,8,83013,23037,True,1,74,8,0.65,0,2,High
CMR2024151,Robert West,23,Female,CSE,2,A,CMRIT,Prof. Meena,9.69,9.92,8.84,9.34,8.95,8.98,6.98,7.87,9.45,30,29,27,91,7,4,104436,144873,True,3,20,8,0.52,7,2,Low
CMR2023210,Christopher Smith,20,Female,AIML,1,B,CMRIT,Prof. Kavya,5.46,9.01,8.49,5.49,6.55,8.22,8.83,7.35,7.23,23,22,29,69,7,0,72646,100276,False,0,43,9,0.94,5,6,Medium
CMR2023391,Laura Mckinney,23,Female,AIML,3,A,CMRIT,Prof. Meena,5.88,6.38,8.04,7.59,5.55,5.25,6.24,5.56,6.45,21,20,20,65,6,1,74777,67591,True,0,55,5,0.92,11,7,Medium
CMR2023748,Jenna Wilson,21,Female,AIML,4,C,CMRIT,Dr. Arvind,7.88,7.63,8.26,7.57,6.0,8.68,5.1,6.1,7.15,26,26,26,74,5,3,10488,49064,True,0,20,6,0.96,11,3,Medium
CMR2023003,Daniel Wagner,23,Female,EEE,4,A,CMRIT,Dr. Arvind,5.7,8.72,7.69,8.74,7.14,7.92,6.81,9.99,7.84,22,28,27,44,6,6,28831,17351,True,1,100,5,0.85,6,10,High
CMR2023167,Alyssa Day,20,Male,EEE,1,C,CMRIT,Dr. Ramesh,7.52,6.7,5.59,7.57,6.29,7.69,8.97,6.25,7.11,27,26,29,70,1,4,131780,68772,False,0,78,9,0.62,9,1,High
CMR2023260,Katie Suarez,23,Male,CIVIL,4,A,CMRIT,Dr. Ramesh,9.3,5.42,8.01,9.34,9.5,7.04,6.82,8.29,7.96,21,26,22,61,6,3,66876,34342,True,2,83,4,0.47,1,6,High
CMR2023170,Jamie Walton,19,Female,EEE,2,C,CMRIT,Prof. Kavya,5.27,9.0,7.39,7.7,7.51,6.97,8.43,5.87,7.34,21,28,27,95,4,2,87746,7206,True,1,68,8,0.37,5,10,Medium
CMR2023614,Elizabeth Sharp,18,Male,EEE,1,C,CMRIT,Dr. Arvind,5.4,8.15,5.37,8.69,5.27,7.04,5.89,8.15,6.78,23,29,27,68,7,4,112776,42656,True,2,48,9,0.5,0,8,Medium
CMR2023001,Noah Rhodes,20,Female,AIML,2,B,CMRIT,Dr. Ramesh,5.46,5.48,9.24,8.02,9.04,8.65,7.68,9.87,7.05,26,21,28,94,3,1,81854,99800,True,0,25,9,0.46,4,2,Medium
CMR2023539,David Davis,19,Male,AIML,1,A,CMRIT,Dr. Ramesh,6.48,6.04,9.14,8.4,5.34,7.26,5.59,9.72,6.26,30,26,20,98,7,0,83699,94959,False,0,67,5,0.51,9,10,Medium
CMR2023220,Courtney Mills,21,Female,MECH,1,A,CMRIT,Dr. Arvind,9.78,7.16,9.59,9.29,6.67,6.34,5.49,8.27,8.47,26,27,30,93,1,0,68385,56098,False,0,43,6,0.68,10,1,Low
CMR2023185,Dr. Hannah Patterson,20,Male,AIML,1,A,CMRIT,Prof. Kavya,7.66,5.95,7.63,6.24,8.13,5.89,8.75,7.08,6.8,21,30,29,72,5,2,98837,125250,False,0,33,5,0.85,8,7,Medium
CMR2023938,Amy Ramirez,22,Female,AIML,1,B,CMRIT,Dr. Ramesh,9.56,5.7,7.18,5.92,9.41,8.09,5.45,5.79,7.63,27,24,22,97,1,5,41394,39346,True,2,31,7,0.62,14,3,Low
CMR2023056,Timothy Duncan,18,Female,AIML,2,A,CMRIT,Dr. Arvind,9.59,7.36,9.16,8.79,7.35,8.08,9.53,5.1,8.72,23,22,28,80,7,1,143352,115953,True,2,50,6,0.39,3,7,Low
CMR2024012,Peter Thompson,21,Female,EEE,4,C,CMRIT,Dr. Arvind,5.0,6.69,7.71,7.53,9.72,8.43,6.92,8.31,7.54,24,29,30,76,8,5,52369,58584,False,0,46,6,0.73,10,7,Low
CMR2023670,Chelsea Gill,18,Male,AIML,2,A,CMRIT,Prof. Meena,6.43,7.69,8.83,8.65,7.46,9.7,8.67,9.92,7.9,27,27,26,74,6,2,59075,68673,False,0,41,7,0.42,3,9,Medium
CMR2023616,Bryan Parker,19,Male,EEE,2,A,CMRIT,Prof. Kavya,9.77,6.57,8.57,5.86,6.72,9.81,5.54,7.72,7.69,21,27,20,88,6,3,58717,48063,True,0,97,5,0.3,1,4,High
CMR2023192,Debra Christian,19,Female,MECH,4,C,CMRIT,Prof. Kavya,8.48,8.34,6.88,9.53,7.63,6.28,5.3,6.0,7.3,29,24,20,95,1,0,126886,7184,True,3,54,9,0.9,10,6,Medium
CMR2023350,Ana Hill,18,Female,AIML,2,B,CMRIT,Dr. Ramesh,8.08,5.45,5.25,7.04,6.53,8.17,6.16,6.68,6.46,27,20,28,55,5,0,116954,18541,False,0,34,6,0.55,5,7,High
CMR2024025,Amanda Hill,19,Male,AIML,3,A,CMRIT,Prof. Kavya,5.04,6.78,6.87,6.34,9.72,7.09,6.59,9.07,6.97,25,23,29,60,5,0,143209,146024,False,0,41,9,0.38,8,10,Medium
CMR2023293,Margaret Coleman,22,Female,CIVIL,2,A,CMRIT,Dr. Ramesh,9.67,7.41,7.99,9.2,6.9,6.76,8.16,7.93,8.57,28,24,20,86,8,4,47314,145008,True,2,31,7,0.79,13,3,Low
CMR2023531,Mark Jimenez,18,Female,MECH,4,A,CMRIT,Prof. Kavya,5.56,6.94,5.53,9.67,6.03,8.8,8.68,6.49,7.21,30,23,29,53,8,0,84526,99617,False,0,26,9,0.74,9,5,High
CMR2023119,Jeffrey Chandler,23,Male,ECE,1,A,CMRIT,Prof. Kavya,7.93,9.59,8.87,9.23,9.3,9.8,6.87,9.71,8.76,26,29,21,81,5,2,93227,84105,False,0,37,5,0.81,6,8,Low
CMR2023827,Claudia Jordan,23,Female,CIVIL,1,C,CMRIT,Prof. Kavya,8.68,9.85,6.51,7.71,7.46,7.16,8.17,9.15,9.27,23,23,23,61,7,8,49605,117721,False,0,32,6,0.91,0,3,High
CMR2024024,James Washington,20,Male,ECE,4,B,CMRIT,Dr. Arvind,9.14,5.01,6.64,6.31,5.52,9.65,8.73,8.36,7.42,23,28,27,70,4,1,64155,98676,True,3,72,6,0.95,13,8,Medium
CMR2023322,Johnathan Davis,19,Female,AIML,2,B,CMRIT,Dr. Arvind,7.88,9.84,6.01,9.31,7.41,9.76,6.8,6.89,8.26,27,27,26,78,8,2,137459,118621,True,3,22,7,0.6,1,5,Low
CMR2023391,Laura Mckinney,23,Female,AIML,3,A,CMRIT,Prof. Meena,5.88,6.38,8.04,7.59,5.55,5.25,6.24,5.56,6.45,21,20,20,65,6,1,74777,67591,True,0,55,5,0.92,11,7,Medium
CMR2023719,Jeffrey Roberson,23,Female,EEE,1,B,CMRIT,Prof. Kavya,9.11,8.09,9.97,6.06,8.28,9.5,6.21,9.49,8.6,27,23,21,92,3,0,35078,144348,True,2,70,9,0.86,4,2,Medium
CMR2024147,Sarah Booth,19,Male,AIML,3,A,CMRIT,Dr. Arvind,6.19,6.87,8.43,5.42,6.99,5.09,7.88,5.43,6.5,29,28,30,89,6,7,73600,10169,False,0,20,9,0.38,0,9,High
CMR2023676,Kristen Rowe,23,Female,CSE,1,C,CMRIT,Dr. Ramesh,9.09,5.95,6.92,5.46,5.31,8.62,9.49,6.45,7.52,25,30,23,81,2,3,27295,138781,True,3,55,7,0.85,12,9,Medium
CMR2023498,Meghan Rush,20,Male,CSE,3,B,CMRIT,Prof. Kavya,8.54,9.4,7.5,5.92,7.01,6.13,9.93,8.17,7.42,25,27,21,40,8,0,142328,72572,True,0,91,4,0.78,1,3,High
CMR2023226,Kirk Carter,18,Female,CIVIL,1,B,CMRIT,Dr. Ramesh,6.06,8.27,7.62,9.7,9.35,7.68,8.71,6.16,7.16,21,20,22,40,2,0,133160,9997,False,0,99,4,0.47,10,3,High
CMR2023343,Nichole Alvarez,18,Female,CIVIL,2,C,CMRIT,Prof. Meena,8.53,5.92,9.93,8.99,7.51,6.38,7.14,9.71,8.34,23,24,30,100,1,2,27791,85127,False,0,60,4,0.74,1,4,High
CMR2023710,Anthony Jones,21,Male,CSE,2,A,CMRIT,Prof. Meena,9.35,6.38,6.2,8.88,7.94,5.59,5.91,5.61,7.7,24,20,30,96,4,3,74408,147727,True,1,40,7,0.87,4,6,Low
CMR2023979,David Rodriguez,23,Male,AIML,4,C,CMRIT,Dr. Arvind,5.94,8.99,8.62,5.5,5.71,8.28,7.88,6.37,7.16,22,26,25,97,2,5,53405,125774,False,0,39,8,0.6,10,7,Medium
CMR2023991,Brian Harris,18,Female,CIVIL,1,A,CMRIT,Prof. Meena,9.57,7.28,7.17,6.34,6.83,8.97,8.97,8.36,8.43,29,25,21,96,1,4,52265,61804,False,0,20,8,0.56,12,2,Low
CMR2023033,Nathan Maldonado,22,Female,ECE,3,C,CMRIT,Prof. Meena,7.28,6.61,5.94,8.49,7.86,6.17,8.88,5.22,7.06,27,26,26,46,8,7,44873,134847,True,1,84,8,0.53,1,8,High
CMR2023644,Edwin Nunez,21,Male,AIML,3,A,CMRIT,Prof. Meena,9.68,7.75,7.7,6.94,8.81,5.65,9.23,6.3,7.75,21,22,20,75,7,4,41921,131314,True,3,35,6,0.73,7,4,Low
CMR2023991,Brian Harris,18,Female,CIVIL,1,A,CMRIT,Prof. Meena,9.57,7.28,7.17,6.34,6.83,8.97,8.97,8.36,8.43,29,25,21,96,1,4,52265,61804,False,0,20,8,0.56,12,2,Low
CMR2023249,Kimberly Gutierrez,19,Male,MECH,1,A,CMRIT,Dr. Ramesh,7.64,8.58,9.82,5.86,8.77,5.02,8.63,9.62,8.11,28,27,25,66,1,5,53529,120255,True,1,65,7,0.6,8,4,Medium
CMR2023774,Carly Riggs,21,Male,EEE,1,A,CMRIT,Prof. Meena,9.98,8.25,7.05,6.72,6.25,5.89,5.41,9.04,9.12,24,21,30,61,8,4,113058,25065,True,0,99,9,0.62,5,4,High
CMR2023598,Kimberly Sharp,18,Female,AIML,2,B,CMRIT,Prof. Meena,8.09,8.93,5.08,8.12,8.18,9.69,9.62,5.92,7.55,21,20,24,87,0,4,17317,37089,False,0,52,8,0.39,8,9,Medium
CMR2023938,Amy Ramirez,22,Female,AIML,1,B,CMRIT,Dr. Ramesh,9.56,5.7,7.18,5.92,9.41,8.09,5.45,5.79,7.63,27,24,22,97,1,5,41394,39346,True,2,31,7,0.62,14,3,Low
CMR2023086,Shirley Suarez,18,Male,MECH,4,A,CMRIT,Dr. Ramesh,7.65,6.37,9.89,5.09,9.07,8.37,9.03,9.55,8.13,21,21,28,65,7,3,44032,68168,True,2,65,6,0.86,1,6,Medium
CMR2024077,David Carter,18,Female,CSE,1,C,CMRIT,Prof. Meena,7.48,9.91,9.88,8.35,5.14,5.65,5.37,5.65,8.7,21,28,22,93,0,4,149102,97492,True,1,49,9,0.4,9,8,Low
CMR2023970,Nicholas Rush,23,Male,EEE,3,C,CMRIT,Prof. Kavya,9.04,7.83,5.53,6.62,8.11,7.4,5.76,6.61,7.42,29,27,26,98,4,1,82695,11537,True,2,88,4,0.52,14,2,High
CMR2023109,Sharon Cochran,23,Female,CIVIL,1,A,CMRIT,Dr. Arvind,9.04,6.36,5.32,8.56,7.88,5.39,7.28,6.8,7.7,27,29,22,87,8,0,101387,46237,False,0,33,8,0.77,1,4,Low
CMR2023203,Joseph Coleman,23,Female,ECE,4,C,CMRIT,Prof. Kavya,8.48,8.06,5.55,8.65,8.14,9.94,7.42,8.44,8.09,24,26,29,71,2,3,87965,73068,False,0,36,8,0.69,8,8,Medium
CMR2023726,Christian Dawson,18,Female,AIML,3,B,CMRIT,Prof. Kavya,7.35,5.19,8.7,9.88,7.83,8.08,9.81,7.21,7.84,21,30,29,77,7,0,98872,41006,False,0,48,6,0.44,11,6,Low
CMR2023402,Mary Thompson,19,Male,EEE,4,B,CMRIT,Dr. Arvind,8.34,9.8,7.46,8.34,6.96,8.49,5.54,7.08,7.75,26,22,20,68,0,5,79297,124821,True,3,21,8,0.51,10,10,Medium
CMR2023500,Jennifer Banks,20,Male,ECE,2,C,CMRIT,Prof. Kavya,9.5,7.49,8.02,9.99,9.6,9.69,9.64,7.74,8.75,26,27,21,90,6,0,22160,93694,True,2,38,5,0.97,7,4,Low
CMR2023769,Todd Thomas,20,Male,ECE,2,B,CMRIT,Prof. Meena,8.8,5.8,9.97,9.91,5.52,5.91,6.09,5.15,8.62,28,28,25,45,4,5,118879,145607,True,0,93,5,0.73,7,9,High
CMR2023387,James Padilla,19,Female,MECH,1,C,CMRIT,Dr. Ramesh,6.3,8.92,5.55,9.74,5.38,6.65,8.06,9.06,7.61,24,22,22,80,7,1,125768,36431,True,2,38,8,0.92,14,7,Low
CMR2023034,Debra Davidson,18,Male,EEE,2,A,CMRIT,Prof. Meena,8.91,6.33,8.12,6.99,5.4,6.64,8.37,7.67,7.59,25,30,27,67,1,1,146824,14410,True,1,100,9,0.94,3,2,High
CMR2023851,Paul Lawrence,19,Male,EEE,1,B,CMRIT,Prof. Meena,9.03,8.02,8.12,7.64,6.42,5.37,6.86,6.55,8.52,27,30,22,66,2,0,40360,18237,False,0,43,8,0.67,2,3,Medium
CMR2023727,Nancy Stewart,19,Female,ECE,1,A,CMRIT,Prof. Kavya,7.31,8.37,7.13,6.17,5.39,6.57,6.45,7.62,7.84,28,29,25,88,4,4,108146,96404,False,0,72,9,0.6,4,6,Medium
CMR2023719,Jeffrey Roberson,23,Female,EEE,1,B,CMRIT,Prof. Kavya,9.11,8.09,9.97,6.06,8.28,9.5,6.21,9.49,8.6,27,23,21,92,3,0,35078,144348,True,2,70,9,0.86,4,2,Medium
CMR2023673,Timothy Hayden,18,Female,AIML,1,A,CMRIT,Prof. Meena,9.8,7.56,6.28,7.69,6.93,8.11,7.9,9.94,8.68,28,28,22,46,4,7,20970,85235,False,0,81,8,0.79,13,8,High
CMR2024180,Michelle Walls,19,Female,MECH,2,C,CMRIT,Dr. Arvind,7.75,6.69,6.37,6.58,9.35,6.06,8.85,9.47,6.85,26,20,23,75,7,3,86478,141152,True,1,74,7,0.68,14,4,Medium
CMR2024116,Jon Clark,19,Female,ECE,1,C,CMRIT,Prof. Meena,8.04,7.12,5.95,9.57,8.05,5.33,9.24,7.17,7.58,20,23,22,96,6,7,64068,22752,True,1,63,5,0.85,8,3,High
CMR2023064,Jessica Callahan,19,Female,MECH,1,A,CMRIT,Prof. Kavya,6.52,5.81,9.67,6.13,9.74,7.59,6.42,5.39,6.16,23,30,28,77,2,2,76945,37812,False,0,98,8,0.37,10,3,High
CMR2023667,Tammy Boone,18,Male,CSE,2,B,CMRIT,Dr. Ramesh,5.46,9.55,9.26,9.08,6.26,8.98,8.2,9.97,8.34,20,28,20,52,1,2,33402,129409,False,0,81,9,0.65,8,3,High
CMR2024052,Lindsay Smith,23,Male,ECE,2,B,CMRIT,Prof. Meena,10.0,6.84,8.37,6.78,7.64,7.04,7.45,7.27,8.0,22,28,28,79,0,1,61203,75802,True,1,49,6,0.87,12,4,Low
CMR2023516,William Day,21,Female,CSE,3,C,CMRIT,Prof. Meena,6.68,9.02,9.27,8.92,7.04,6.71,9.71,8.6,7.94,28,23,27,97,1,0,78830,74906,True,3,30,9,0.94,13,9,Low
CMR2023496,Austin Osborne,23,Female,CSE,3,C,CMRIT,Dr. Arvind,9.74,8.64,8.57,7.45,8.52,9.71,9.93,6.08,8.77,27,24,28,95,0,0,84865,91647,True,3,38,8,0.99,9,6,Low
CMR2023219,Bailey Duran DDS,21,Female,AIML,4,C,CMRIT,Prof. Kavya,6.05,8.67,6.73,8.21,8.78,5.58,5.84,6.99,7.11,24,27,28,40,4,7,66252,104562,False,0,80,6,0.4,13,7,High
CMR2024046,Nicole Barker,18,Female,ECE,3,C,CMRIT,Dr. Arvind,8.24,8.54,8.19,6.53,9.92,7.16,7.35,7.46,8.1,25,26,29,59,1,5,50802,41926,True,2,98,4,0.64,11,4,High
CMR2023575,Kelly Edwards,18,Male,CSE,1,A,CMRIT,Dr. Ramesh,8.89,8.97,9.72,9.83,5.57,7.26,5.61,8.83,8.93,28,27,28,64,3,8,37007,131154,False,0,30,6,0.85,5,3,High
CMR2023846,Brandi Haney,21,Male,AIML,1,C,CMRIT,Dr. Ramesh,7.59,9.49,9.8,5.33,5.8,5.75,5.83,9.73,8.54,28,22,30,73,8,5,82590,83419,False,0,23,9,0.9,7,3,Medium
